Teks_Komentar_Asli,Sentimen_Asli_Likert
tahan lama,Positif
Amazing,Positif
Tahan lama,Positif
cepat hilang,Negatif
Kurang konsisten,Positif
"Ketahanan sangat awet, aroma tahan seharian.",Positif
Proyeksi kuat dan stabil dalam beberapa jam.,Positif
Aroma konsisten dari awal sampai akhir,Positif
"Tahan lama, tetap tercium meski aktivitas padat.",Positif
Performa ketahanan sangat memuaskan.,Positif
Di kulit saya cepat memudar setelah beberapa jam,Netral
"Proyeksi kuat di awal, lalu cepat melemah.",Negatif
tahan lama bagus dengan harganya,Negatif
"ketahanan standar sesuai harga, oke lah",Negatif
ketahanan tidak konsisten,Netral
cukup tahan lama sampe 8 jam beraktivitas,Positif
ketahanan awet sampai 8 jam ,Positif
aroma konsisten sampai 8 jam,Positif
Ketahanannya cukup oke untuk aktivitas harian dan masih terasa nyaman dipakai.,Positif
"Ketahanannya cukup oke untuk aktivitas harian, saya suka.",Positif
Proyeksinya cukup terasa tapi tidak berlebihan.,Positif
Menurut saya sudah cukup tahan lama.,Positif
Aroma masih kebaca sampai sore kalau dipakai di baju.,Positif
Aroma masih kebaca sampai sore kalau dipakai di baju.,Positif
Menurut saya sudah cukup tahan lama.,Positif
Ketahanan cukup oke untuk pemakaian harian.,Netral
Proyeksinya cukup terasa tapi tidak berlebihan.,Positif
Di pakaian masih terasa beberapa jam.,Positif
Menurut saya sudah cukup tahan lama.,Positif
Di pakaian masih terasa beberapa jam.,Positif
Di pakaian masih terasa beberapa jam.,Positif
"Proyeksi awal oke, setelah itu lebih soft.",Negatif
Proyeksinya cukup terasa tapi tidak berlebihan.,Positif
Di pakaian masih terasa beberapa jam.,Positif
Proyeksinya cukup terasa tapi tidak berlebihan.,Positif
Proyeksinya cukup terasa tapi tidak berlebihan.,Netral
"Ketahanan lumayan, tapi di kulit agak cepat turun.",Netral
Masih bisa ditingkatkan terutama di kulit.,Netral
"Proyeksi awal oke, setelah itu lebih soft.",Positif
Proyeksinya cukup terasa tapi tidak berlebihan.,Positif
Ketahanan cukup oke untuk pemakaian harian.,Positif
Ketahanan cukup oke untuk pemakaian harian.,Positif
Di pakaian masih terasa beberapa jam.,Positif
Menurut saya sudah cukup tahan lama.,Positif
Masih bisa ditingkatkan terutama di kulit.,Positif
Proyeksinya cukup terasa tapi tidak berlebihan.,Positif
Masih bisa ditingkatkan terutama di kulit.,Positif
Di pakaian masih terasa beberapa jam.,Positif
Proyeksinya cukup terasa tapi tidak berlebihan.,Positif
Aroma masih kebaca sampai sore kalau dipakai di baju.,Positif
Di pakaian masih terasa beberapa jam.,Positif
Menurut saya masih perlu ditingkatkan lagi soal ketahanan.,Negatif
"Proyeksinya sedang, tidak terlalu kuat tapi masih terasa.",Positif
Dry down-nya tetap enak dan tidak berubah menjadi aneh.,Positif
Aromanya cepat menipis setelah beberapa jam.,Netral
Dry down-nya tetap enak dan tidak berubah menjadi aneh.,Positif
,Positif
"Dry down-nya oke, hanya saja tidak terlalu menonjol.",Netral
"Proyeksinya lumayan, orang sekitar masih bisa mencium aromanya.",Positif
,Positif
,Positif
"Ketahanannya cukup bagus, masih tercium beberapa jam setelah dipakai.",Positif
,Positif
Dry down-nya tetap enak dan tidak berubah menjadi aneh.,Positif
"Ketahanannya kurang lama, cepat hilang kalau dipakai di luar ruangan.",Netral
"Untuk pemakaian harian, ketahanannya sudah cukup memuaskan.",Positif
Cukup awet kalau dipakai di ruangan atau aktivitas ringan.,Positif
"Dry down-nya oke, hanya saja tidak terlalu menonjol.",Positif
"Untuk pemakaian harian, ketahanannya sudah cukup memuaskan.",Positif
,Positif
,Positif
Dry down-nya tetap enak dan tidak berubah menjadi aneh.,Positif
"Ketahanannya cukup bagus, masih tercium beberapa jam setelah dipakai.",Positif
,Positif
"Ketahanannya standar, masih oke tapi tidak terlalu lama.",Positif
"Ketahanannya cukup bagus, masih tercium beberapa jam setelah dipakai.",Positif
,Positif
"Proyeksinya lumayan, orang sekitar masih bisa mencium aromanya.",Positif
Cukup awet kalau dipakai di ruangan atau aktivitas ringan.,Positif
"Ketahanannya cukup bagus, masih tercium beberapa jam setelah dipakai.",Positif
Cukup awet kalau dipakai di ruangan atau aktivitas ringan.,Positif
"Ketahanannya cepat pudar, apalagi saat dipakai di luar ruangan jadi makin nggak konsisten.",Negatif
Menurut saya wanginya cepat turun dan proyeksinya terasa kurang nendang.,Negatif
"Ketahanannya aman, jadi masih cukup kepakai.",Positif
"Ketahanannya cukup oke, jadi masih cukup stabil.",Positif
,Positif
"Ketahanannya masih aman, tapi akan lebih bagus kalau lebih stabil.",Netral
"Buat ukuran ini, ketahanannya terasa aman dan terasa.",Positif
"Aromanya mudah hilang setelah beberapa jam, jadi kurang lemah.",Netral
"Untuk harian masih lumayan, hanya belum terlalu konsisten.",Positif
Masih terasa beberapa jam dan overall cukup sesuai harapan.,Positif
Menurut saya ketahanannya bagus dan cukup bertahan dipakai beraktivitas.,Positif
"Ketahanannya cepat turun, apalagi saat dipakai di luar ruangan jadi makin lemah.",Negatif
"Ketahanannya cukup oke, jadi masih cukup terasa.",Positif
Ketahanannya aman untuk pemakaian harian dan masih stabil.,Positif
Masih terasa beberapa jam dan overall cukup lumayan awet.,Positif
"Buat ukuran ini, ketahanannya terasa cukup oke dan kepakai.",Positif
"Aromanya kurang awet setelah beberapa jam, jadi kurang kurang nendang.",Negatif
"Ketahanannya lumayan awet, jadi masih cukup bertahan.",Positif
"Menurut saya ketahanannya cukup, namun belum terlalu awet.",Netral
"Masih cukup terasa, hanya di beberapa kondisi jadi kurang awet.",Positif
Ketahanannya cukup oke untuk pemakaian harian dan masih bertahan.,Positif
"Ketahanannya aman, jadi masih cukup terasa.",Positif
Menurut saya ketahanannya bagus dan cukup stabil dipakai beraktivitas.,Positif
"Buat ukuran ini, ketahanannya terasa cukup oke dan nyaman.",Positif
"Tidak jelek, cuma masih bisa dibuat lebih stabil.",Positif
Menurut saya wanginya cepat pudar dan proyeksinya terasa tipis.,Negatif
Ketahanannya aman untuk pemakaian harian dan masih stabil.,Positif
"Masih cukup terasa, hanya di beberapa kondisi jadi kurang lama.",Netral
"Ketahanannya cepat turun, apalagi saat dipakai di luar ruangan jadi makin tipis.",Negatif
"Ketahanannya lumayan, tapi akan lebih bagus kalau lebih stabil.",Netral
Ketahanannya lumayan awet untuk pemakaian harian dan masih bertahan.,Positif
"Ketahanannya sesuai harapan, jadi masih cukup bertahan.",Positif
Masih terasa beberapa jam dan overall cukup sesuai harapan.,Positif
"Buat ukuran ini, ketahanannya terasa aman dan terasa.",Positif
"Masih cukup terasa, hanya di beberapa kondisi jadi kurang lama.",Netral
"Aromanya mudah hilang setelah beberapa jam, jadi kurang nggak konsisten.",Netral
"Masih cukup terasa, hanya di beberapa kondisi jadi kurang stabil.",Positif
"Untuk harian masih cukup, hanya belum terlalu konsisten.",Netral
"Buat ukuran ini, ketahanannya terasa bagus dan stabil.",Positif
Menurut saya ketahanannya bagus dan cukup stabil dipakai beraktivitas.,Positif
Ketahanannya bagus untuk pemakaian harian dan masih bertahan.,Positif
,Positif
,Positif
,Positif
,Positif
,Positif
,Positif
,Positif
,Positif
,Positif
,Positif
,Positif
,Positif
,Positif
,Positif
"Ketahanannya sesuai harapan, jadi masih cukup kepakai.",Positif
"Buat ukuran ini, ketahanannya terasa lumayan awet dan kepakai.",Positif
,Positif
,Positif
"Ketahanannya cukup oke, jadi masih cukup nyaman.",Positif
Menurut saya wanginya cepat pudar dan proyeksinya terasa tipis.,Negatif
,Positif
,Positif
"Menurut saya ketahanannya nggak buruk, namun belum terlalu lama.",Netral
,Positif
,Positif
"Buat ukuran ini, ketahanannya terasa bagus dan terasa.",Positif
Buat saya ketahanannya mudah hilang dan masih kurang lemah.,Netral
"Ketahanannya lumayan, tapi akan lebih bagus kalau lebih awet.",Positif
"Masih cukup terasa, hanya di beberapa kondisi jadi kurang konsisten.",Netral
,Positif
"Tidak jelek, cuma masih bisa dibuat lebih konsisten.",Netral
Ketahanannya cukup oke untuk pemakaian harian dan masih nyaman.,Positif
"Ketahanannya lumayan awet, jadi masih cukup nyaman.",Positif
"Ketahanannya cukup oke, jadi masih cukup stabil.",Positif
,Positif
,Positif
"Ketahanannya aman, jadi masih cukup bertahan.",Positif
"Ketahanannya cukup oke, jadi masih cukup terasa.",Positif
"Buat ukuran ini, ketahanannya terasa bagus dan bertahan.",Positif
,Positif
"Tidak jelek, cuma masih bisa dibuat lebih lama.",Netral
Menurut saya ketahanannya aman dan cukup kepakai dipakai beraktivitas.,Positif
,Positif
,Positif
,Positif
Masih terasa beberapa jam dan overall cukup cukup oke.,Positif
Menurut saya wanginya cepat turun dan proyeksinya terasa nggak konsisten.,Negatif
Menurut saya wanginya cepat turun dan proyeksinya terasa tipis.,Negatif
"Ketahanannya sesuai harapan, jadi masih cukup terasa.",Positif
,Positif
"Masih cukup terasa, hanya di beberapa kondisi jadi kurang konsisten.",Netral
"Untuk harian masih cukup, hanya belum terlalu konsisten.",Positif
"Ketahanannya masih aman, tapi akan lebih bagus kalau lebih stabil.",Positif
,Positif
"Aromanya cepat turun setelah beberapa jam, jadi kurang kurang nendang.",Negatif
Masih terasa beberapa jam dan overall cukup aman.,Positif
,Positif
,Positif
"Untuk harian masih masih aman, hanya belum terlalu konsisten.",Netral
"Menurut saya ketahanannya cukup, namun belum terlalu lama.",Netral
"Buat ukuran ini, ketahanannya terasa bagus dan kepakai.",Positif
,Positif
,Positif
Menurut saya ketahanannya bagus dan cukup nyaman dipakai beraktivitas.,Positif
"Ketahanannya mudah hilang, apalagi saat dipakai di luar ruangan jadi makin lemah.",Negatif
"Ketahanannya cukup, tapi akan lebih bagus kalau lebih awet.",Netral
Menurut saya wanginya mudah hilang dan proyeksinya terasa lemah.,Negatif
"Aromanya cepat pudar setelah beberapa jam, jadi kurang nggak konsisten.",Negatif
Menurut saya ketahanannya lumayan awet dan cukup stabil dipakai beraktivitas.,Positif
,Positif
Masih terasa beberapa jam dan overall cukup aman.,Positif
Menurut saya ketahanannya sesuai harapan dan cukup kepakai dipakai beraktivitas.,Positif
,Positif
,Positif
,Positif
,Positif
"Masih cukup terasa, hanya di beberapa kondisi jadi kurang stabil.",Netral
Menurut saya wanginya cepat turun dan proyeksinya terasa kurang nendang.,Negatif
,Positif
,Positif
,Positif
"Menurut saya ketahanannya lumayan, namun belum terlalu awet.",Netral
Masih terasa beberapa jam dan overall cukup cukup oke.,Positif
,Positif
"Aromanya cepat pudar setelah beberapa jam, jadi kurang kurang nendang.",Negatif
"Ketahanannya cukup, tapi akan lebih bagus kalau lebih lama.",Positif
Ketahanannya cukup oke untuk pemakaian harian dan masih kepakai.,Positif
"Masih cukup terasa, hanya di beberapa kondisi jadi kurang konsisten.",Netral
"Buat ukuran ini, ketahanannya terasa cukup oke dan stabil.",Positif
"Untuk harian masih cukup, hanya belum terlalu awet.",Netral
"Ketahanannya nggak buruk, tapi akan lebih bagus kalau lebih konsisten.",Netral
"Aromanya cepat pudar setelah beberapa jam, jadi kurang lemah.",Negatif
,Positif
,Positif
"Masih cukup terasa, hanya di beberapa kondisi jadi kurang konsisten.",Netral
Menurut saya ketahanannya bagus dan cukup nyaman dipakai beraktivitas.,Positif
"Untuk harian masih masih aman, hanya belum terlalu lama.",Netral
,Positif
"Aromanya cepat turun setelah beberapa jam, jadi kurang kurang nendang.",Negatif
Menurut saya wanginya cepat pudar dan proyeksinya terasa nggak konsisten.,Netral
,Positif
Buat saya ketahanannya mudah hilang dan masih kurang tipis.,Negatif
"Ketahanannya masih aman, tapi akan lebih bagus kalau lebih stabil.",Netral
"Untuk harian masih lumayan, hanya belum terlalu awet.",Netral
"Buat ukuran ini, ketahanannya terasa lumayan awet dan kepakai.",Positif
,Positif
"Ketahanannya sesuai harapan, jadi masih cukup kepakai.",Positif
,Positif
Menurut saya ketahanannya bagus dan cukup kepakai dipakai beraktivitas.,Positif
"Menurut saya ketahanannya cukup, namun belum terlalu awet.",Netral
"Ketahanannya lumayan awet, jadi masih cukup bertahan.",Positif
Buat saya ketahanannya mudah hilang dan masih kurang lemah.,Negatif
"Untuk harian masih nggak buruk, hanya belum terlalu awet.",Positif
Ketahanannya masih cepat turun dan overall terasa nggak konsisten.,Negatif
Ketahanannya masih kurang awet dan overall terasa lemah.,Negatif
Ketahanannya sesuai harapan untuk pemakaian harian dan masih kepakai.,Positif
"Ketahanannya sesuai harapan, jadi masih cukup stabil.",Positif
,Positif
,Positif
,Positif
Buat saya ketahanannya cepat pudar dan masih kurang tipis.,Negatif
"Ketahanannya aman, jadi masih cukup kepakai.",Positif
,Positif
,Positif
"Untuk harian masih cukup, hanya belum terlalu lama.",Netral
Menurut saya ketahanannya aman dan cukup stabil dipakai beraktivitas.,Positif
Ketahanannya masih cepat pudar dan overall terasa tipis.,Netral
,Positif
"Tidak jelek, cuma masih bisa dibuat lebih konsisten.",Positif
"Ketahanannya nggak buruk, tapi akan lebih bagus kalau lebih konsisten.",Netral
Menurut saya ketahanannya bagus dan cukup terasa dipakai beraktivitas.,Positif
,Positif
"Ketahanannya nggak buruk, tapi akan lebih bagus kalau lebih lama.",Positif
"Untuk harian masih nggak buruk, hanya belum terlalu awet.",Netral
"Ketahanannya kurang awet, apalagi saat dipakai di luar ruangan jadi makin nggak konsisten.",Negatif
Ketahanannya masih mudah hilang dan overall terasa nggak konsisten.,Negatif
,Positif
,Positif
,Positif
,Positif
"Ketahanannya cukup, tapi akan lebih bagus kalau lebih konsisten.",Netral
,Positif
Ketahanannya cukup oke untuk pemakaian harian dan masih nyaman.,Positif
"Menurut saya ketahanannya lumayan, namun belum terlalu lama.",Netral
Menurut saya ketahanannya cukup oke dan cukup terasa dipakai beraktivitas.,Positif
,Positif
,Positif
"Menurut saya ketahanannya cukup, namun belum terlalu konsisten.",Positif
,Positif
"Untuk harian masih masih aman, hanya belum terlalu stabil.",Positif
"Menurut saya ketahanannya cukup, namun belum terlalu konsisten.",Positif
"Aromanya cepat turun setelah beberapa jam, jadi kurang tipis.",Negatif
,Positif
,Positif
"Menurut saya ketahanannya lumayan, namun belum terlalu stabil.",Netral
"Ketahanannya nggak buruk, tapi akan lebih bagus kalau lebih konsisten.",Netral
Menurut saya ketahanannya aman dan cukup kepakai dipakai beraktivitas.,Positif
Menurut saya wanginya cepat turun dan proyeksinya terasa lemah.,Negatif
Masih terasa beberapa jam dan overall cukup lumayan awet.,Positif
"Ketahanannya cukup oke, jadi masih cukup terasa.",Positif
,Positif
Menurut saya ketahanannya lumayan awet dan cukup terasa dipakai beraktivitas.,Positif
"Buat ukuran ini, ketahanannya terasa lumayan awet dan stabil.",Positif
,Positif
,Positif
,Positif
,Positif
"Tidak jelek, cuma masih bisa dibuat lebih awet.",Positif
,Positif
"Untuk harian masih nggak buruk, hanya belum terlalu lama.",Positif
"Masih cukup terasa, hanya di beberapa kondisi jadi kurang lama.",Netral
,Positif
,Positif
"Buat ukuran ini, ketahanannya terasa bagus dan kepakai.",Positif
,Positif
,Positif
,Positif
,Positif
"Ketahanannya bagus, jadi masih cukup bertahan.",Positif
"Menurut saya ketahanannya cukup, namun belum terlalu stabil.",Netral
,Positif
Ketahanannya masih kurang awet dan overall terasa lemah.,Negatif
,Positif
"Masih cukup terasa, hanya di beberapa kondisi jadi kurang lama.",Netral
"Ketahanannya lumayan, tapi akan lebih bagus kalau lebih konsisten.",Positif
"Ketahanannya cukup, tapi akan lebih bagus kalau lebih awet.",Netral
"Ketahanannya bagus, jadi masih cukup nyaman.",Positif
,Positif
,Positif
,Positif
"Untuk harian masih nggak buruk, hanya belum terlalu lama.",Netral
"Ketahanannya cepat turun, apalagi saat dipakai di luar ruangan jadi makin lemah.",Negatif
"Ketahanannya masih aman, tapi akan lebih bagus kalau lebih lama.",Netral
"Buat ukuran ini, ketahanannya terasa sesuai harapan dan bertahan.",Positif
"Menurut saya ketahanannya nggak buruk, namun belum terlalu lama.",Netral
,Positif
,Positif
,Positif
,Positif
"Ketahanannya lumayan, tapi akan lebih bagus kalau lebih lama.",Netral
"Menurut saya ketahanannya nggak buruk, namun belum terlalu konsisten.",Netral
"Ketahanannya lumayan awet, jadi masih cukup bertahan.",Positif
,Positif
Menurut saya ketahanannya cukup oke dan cukup bertahan dipakai beraktivitas.,Positif
"Menurut saya ketahanannya cukup, namun belum terlalu konsisten.",Netral
,Positif
"Masih cukup terasa, hanya di beberapa kondisi jadi kurang awet.",Positif
Menurut saya ketahanannya sesuai harapan dan cukup bertahan dipakai beraktivitas.,Positif
"Untuk harian masih masih aman, hanya belum terlalu stabil.",Netral
"Ketahanannya kurang awet, apalagi saat dipakai di luar ruangan jadi makin lemah.",Negatif
,Positif
"Tidak jelek, cuma masih bisa dibuat lebih stabil.",Netral
"Masih cukup terasa, hanya di beberapa kondisi jadi kurang awet.",Positif
,Positif
